RUN_ID,INVOICE_UUID,DOCUMENT_NAME,AGENTIC_DOC_VERSION,LINE_INDEX,LINE_NUMBER,SKU,DESCRIPTION,QUANTITY,UNIT_PRICE,PRICE,AMOUNT,TOTAL
ab51eee8-43ab-4c60-974f-d37043e93f76,8a016234-4c23-4927-aa41-f7841f70c611,invoice_9.pdf,dpt-2-20250919,0,,,Freshcaller Phone Credits,10.0,1.0,,10.0,
ab51eee8-43ab-4c60-974f-d37043e93f76,83aa2614-39b8-418b-90b7-e726ebd3c90a,invoice_17.pdf,dpt-2-20250919,0,1,,Tata Photon 3G Plan 750@7GB,1.0,2800.0,,2800.0,
ab51eee8-43ab-4c60-974f-d37043e93f76,74954e69-8064-4966-a0cc-d4111458af17,invoice_8.PDF,dpt-2-20250919,0,,,"Zazzles 2 Selarid Feline 5-15lb Revolution Ge* Apply contents of one tube (follow label directions for administration technique) to skin once monthly to prevent fleas, roundworms, hookworms, heartworms, and ear mites. Wait at least 2 hours after application for bathing.",2.0,,,42.0,
ab51eee8-43ab-4c60-974f-d37043e93f76,74954e69-8064-4966-a0cc-d4111458af17,invoice_8.PDF,dpt-2-20250919,1,,,1 HCP Combo Vaccine (1 Year) The HCP vaccine was given under the skin of the right front leg.,1.0,,,45.0,
ab51eee8-43ab-4c60-974f-d37043e93f76,74954e69-8064-4966-a0cc-d4111458af17,invoice_8.PDF,dpt-2-20250919,2,,,1 Technician Appointment,1.0,,,0.0,
ab51eee8-43ab-4c60-974f-d37043e93f76,74954e69-8064-4966-a0cc-d4111458af17,invoice_8.PDF,dpt-2-20250919,3,,,Visa payment,,,,-90.53,
ab51eee8-43ab-4c60-974f-d37043e93f76,116fc387-7366-4838-9ff5-de97eff28186,invoice_16.pdf,dpt-2-20250919,0,,PF4AJSC9,"Lenovo ThinkPad X1 Carbon Gen 10 21CB - 180-degree hinge; design - Intel Core i7 1260P/2.1 GHz - Evo - Win 10 Pro 64-bit; (includes Win 11 Pro License) - Intel Iris Xe Graphics - 16 GB RAM - 512 GB SSD TCG Opal Encryption 2, NVMe, Performance - 14"" IPS touchscreen 1920 x 1200 - 802.11a/b/g/n/ac/ax (Wi-Fi 6E) - deep black paint - kbd: US - with 3 Years Lenovo Premier Support + 3 Years Lenovo Sealed Battery Add On",1.0,1529.94,,1529.94,
ab51eee8-43ab-4c60-974f-d37043e93f76,fcfa7140-e234-4eb5-be2e-d356993b6f3f,invoice_11.pdf,dpt-2-20250919,0,,,Apple iPhone 12 Pro Max 256 GB Excellent Condition,3.0,600.29,,1800.87,
ab51eee8-43ab-4c60-974f-d37043e93f76,47b62e70-4187-418c-8cf1-3c1635ee1dc7,invoice_13.pdf,dpt-2-20250919,0,,7602,ALUMINIUM SCRAPS,26440.0,193.0,,5102920.0,
ab51eee8-43ab-4c60-974f-d37043e93f76,dfb98d68-9dd7-474e-a03a-b77cc8465db9,invoice_14.pdf,dpt-2-20250919,0,001.00,242900,"Dunlop Nylon Max Grip Jazz III Players Pack - 6-plece plectrum set. Colour: Red, gauge: 1,38mm",1.0,3.66,,3.66,3.66
ab51eee8-43ab-4c60-974f-d37043e93f76,dfb98d68-9dd7-474e-a03a-b77cc8465db9,invoice_14.pdf,dpt-2-20250919,1,002.00,151423,"Dunlop Tortex standard picks - 0.88mm, 12-pack.",1.0,4.8,,4.8,4.8
ab51eee8-43ab-4c60-974f-d37043e93f76,dfb98d68-9dd7-474e-a03a-b77cc8465db9,invoice_14.pdf,dpt-2-20250919,2,003.00,119582,"Fender Vintage Bass Bridge, Incl screws, dimension width 8cm, lenght 4cm, stringspacing 2cm",1.0,47.15,,47.15,47.15
ab51eee8-43ab-4c60-974f-d37043e93f76,dfb98d68-9dd7-474e-a03a-b77cc8465db9,invoice_14.pdf,dpt-2-20250919,3,004.00,180181,"Electro Harmonix 24DC-100 EU AC power supply, Original AC power supply matches Deluxe Memory Man, Bass/Micro Synth, Q-Tron, Q-Tron+, Stereo Polychorus, Worm, Deluxe Electric Mistress, Stereo Memoroy Man, Stereo Polyphase, XO Deluxe Memory Man, XO Q-Tron+",1.0,13.58,,13.58,13.58
